response_id,submitted_at,product,product_version,platform,country,user_segment,score1,score2,source_file,source_row,product_norm,platform_norm,country_norm,segment_norm,submitted_at_dt,score1_norm,score2_norm,umux_score
R2365,2025-06-25 09:35:10,checkout,2.1,ANDROID,BY,new,5,5,raw_responses_sample.csv,30,Checkout,Android,BY,new,2025-06-25 09:35:10,5.0,5.0,100.0
R2168,2024-07-21 14:55:07,Checkout,1.3,web,AM,returning,4,4,raw_responses_sample.csv,32,Checkout,Web,AM,returning,2024-07-21 14:55:07,4.0,4.0,75.0
R1581,2025-05-28 08:26:59,Payment,2.1,iOS,RU,returning ,3,2,raw_responses_sample.csv,33,Payments,iOS,RU,returning,2025-05-28 08:26:59,3.0,2.0,37.5
R1978,2024-03-21 07:04:00,PROFILE,1.3,web,KZ,,5,5,raw_responses_sample.csv,34,Profile,Web,KZ,unknown,2024-03-21 07:04:00,5.0,5.0,100.0
R1279,2024-02-19 01:06:40,ONBOARDING,2.1,iOS,RU,,3,1,raw_responses_sample.csv,35,Onboarding,iOS,RU,unknown,2024-02-19 01:06:40,3.0,1.0,25.0
R2054,2024-08-12 03:03:57,Checkout,1.2,ANDROID,BY,returning,3,2,raw_responses_sample.csv,36,Checkout,Android,BY,returning,2024-08-12 03:03:57,3.0,2.0,37.5
R2175,2024-08-09 08:11:16,Search,1.3,Android,ru,returning ,5,5,raw_responses_sample.csv,37,Search,Android,RU,returning,2024-08-09 08:11:16,5.0,5.0,100.0
R1081,2024-02-07 14:05:20,profile,2.0,Web,RU,,3,3,raw_responses_sample.csv,38,Profile,Web,RU,unknown,2024-02-07 14:05:20,3.0,3.0,50.0
R1132,2025-06-06 20:07:33,search,1.3,Web,BY,,4,4,raw_responses_sample.csv,39,Search,Web,BY,unknown,2025-06-06 20:07:33,4.0,4.0,75.0
R1185,2024-07-18 11:35:18,Search,2.1,web,GE,New,3,4,raw_responses_sample.csv,40,Search,Web,GE,new,2024-07-18 11:35:18,3.0,4.0,62.5
R2325,2025-06-02 22:41:35,CHECKOUT,1.2,ANDROID,GE,returning,4,5,raw_responses_sample.csv,41,Checkout,Android,GE,returning,2025-06-02 22:41:35,4.0,5.0,87.5
R2010,2024-04-26 05:29:27, search,2.1,Android,GE,returning ,2,3,raw_responses_sample.csv,42,Search,Android,GE,returning,2024-04-26 05:29:27,2.0,3.0,37.5
R1261,2024-08-07 06:17:48,Onboarding,2.1,ANDROID,RU,,2,2,raw_responses_sample.csv,43,Onboarding,Android,RU,unknown,2024-08-07 06:17:48,2.0,2.0,25.0
R2250,2024-01-13 23:54:52,PROFILE,2.1,Android,,returning,3,3,raw_responses_sample.csv,44,Profile,Android,unknown,returning,2024-01-13 23:54:52,3.0,3.0,50.0
R1956,2024-04-28 00:41:22,Check out,1.3,Web,BY,new,5,5,raw_responses_sample.csv,45,Checkout,Web,BY,new,2024-04-28 00:41:22,5.0,5.0,100.0
R1918,2024-09-10 02:17:07,Search,2.1,,GE,New,2,4,raw_responses_sample.csv,46,Search,unknown,GE,new,2024-09-10 02:17:07,2.0,4.0,50.0
R1126,2025-06-08 03:22:27,Payments,2.1,Web,,,2,3,raw_responses_sample.csv,47,Payments,Web,unknown,unknown,2025-06-08 03:22:27,2.0,3.0,37.5
R2400,2024-11-22 18:49:58,profile,1.2,,,returning ,5,4,raw_responses_sample.csv,48,Profile,unknown,unknown,returning,2024-11-22 18:49:58,5.0,4.0,87.5
R1060,2025-01-14 02:32:41,CHECKOUT,1.2,iOS,ru,New,4,5,raw_responses_sample.csv,49,Checkout,iOS,RU,new,2025-01-14 02:32:41,4.0,5.0,87.5
R1848,2025-06-02 01:29:01,Search,2.1,,,,3,3,raw_responses_sample.csv,50,Search,unknown,unknown,unknown,2025-06-02 01:29:01,3.0,3.0,50.0
R1744,2024-06-19 04:47:44,profile,1.3,web,AM,new,4,4,raw_responses_sample.csv,51,Profile,Web,AM,new,2024-06-19 04:47:44,4.0,4.0,75.0
R1381,2024-12-12 16:33:44,Payments,1.3,web,,,5,4,raw_responses_sample.csv,52,Payments,Web,unknown,unknown,2024-12-12 16:33:44,5.0,4.0,87.5
R1443,2024-05-01 23:14:28,search,2.1,iOS,KZ,returning ,3,2,raw_responses_sample.csv,53,Search,iOS,KZ,returning,2024-05-01 23:14:28,3.0,2.0,37.5
R1674,2024-11-15 21:53:28,checkout,2.1,ANDROID,AM,power,4,5,raw_responses_sample.csv,54,Checkout,Android,AM,power,2024-11-15 21:53:28,4.0,5.0,87.5
R1960,2025-05-22 05:29:11,Profile,2.0,Android,GE,New,4,4,raw_responses_sample.csv,55,Profile,Android,GE,new,2025-05-22 05:29:11,4.0,4.0,75.0
R2079,2024-05-03 16:06:15,payments,1.3,iOS,AM,new,3,3,raw_responses_sample.csv,56,Payments,iOS,AM,new,2024-05-03 16:06:15,3.0,3.0,50.0
R1909,2024-07-08 12:52:44,Checkout,2.0,web,GE,,5,5,raw_responses_sample.csv,57,Checkout,Web,GE,unknown,2024-07-08 12:52:44,5.0,5.0,100.0
R1597,2024-07-08 03:44:11,CHECKOUT,1.2,Web,AM,,4,4,raw_responses_sample.csv,58,Checkout,Web,AM,unknown,2024-07-08 03:44:11,4.0,4.0,75.0
R1038,2024-10-12 11:41:32,ONBOARDING,2.1,,ru,returning ,2,4,raw_responses_sample.csv,59,Onboarding,unknown,RU,returning,2024-10-12 11:41:32,2.0,4.0,50.0
R1588,2025-04-02 11:51:11,Payment,1.3,,KZ,New,5,3,raw_responses_sample.csv,60,Payments,unknown,KZ,new,2025-04-02 11:51:11,5.0,3.0,75.0
R2029,2025-04-23 23:51:31, Checkout ,2.0,ANDROID,AM,returning,3,2,raw_responses_sample.csv,61,Checkout,Android,AM,returning,2025-04-23 23:51:31,3.0,2.0,37.5
R1850,2024-09-05 22:28:08,Serch,2.1,Web,ru,returning,3,3,raw_responses_sample.csv,62,Search,Web,RU,returning,2024-09-05 22:28:08,3.0,3.0,50.0
R1342,2024-04-12 03:36:49,Onboarding,1.3,Web,ru,returning ,2,2,raw_responses_sample.csv,63,Onboarding,Web,RU,returning,2024-04-12 03:36:49,2.0,2.0,25.0
R1077,2024-11-07 22:25:17,Serch,2.0,web,RU,returning ,2,3,raw_responses_sample.csv,64,Search,Web,RU,returning,2024-11-07 22:25:17,2.0,3.0,37.5
R1433,2024-06-19 08:59:11,ONBOARDING,1.2,ANDROID,GE,,4,3,raw_responses_sample.csv,65,Onboarding,Android,GE,unknown,2024-06-19 08:59:11,4.0,3.0,62.5
R1356,2025-03-04 12:24:47,Checkout,2.1,ANDROID,,returning ,5,4,raw_responses_sample.csv,66,Checkout,Android,unknown,returning,2025-03-04 12:24:47,5.0,4.0,87.5
R2473,2024-12-15 09:53:34,Check out,2.0,Web,BY,,3,4,raw_responses_sample.csv,67,Checkout,Web,BY,unknown,2024-12-15 09:53:34,3.0,4.0,62.5
R1570,2024-12-14 06:52:44,ONBOARDING,1.3,web,GE,,4,4,raw_responses_sample.csv,68,Onboarding,Web,GE,unknown,2024-12-14 06:52:44,4.0,4.0,75.0
R2462,2025-03-16 00:45:33,CHECKOUT,2.1,,GE,new,2,3,raw_responses_sample.csv,69,Checkout,unknown,GE,new,2025-03-16 00:45:33,2.0,3.0,37.5
R1903,2024-07-19 23:41:00,profile,2.0,,ru,returning ,4,3,raw_responses_sample.csv,70,Profile,unknown,RU,returning,2024-07-19 23:41:00,4.0,3.0,62.5
R1334,2024-06-23 20:18:05, Payments,2.1,iOS,BY,,3,3,raw_responses_sample.csv,71,Payments,iOS,BY,unknown,2024-06-23 20:18:05,3.0,3.0,50.0
R1355,2024-02-28 19:25:42, search,1.3,,KZ,,5,5,raw_responses_sample.csv,72,Search,unknown,KZ,unknown,2024-02-28 19:25:42,5.0,5.0,100.0
R1025,2024-06-10 01:32:05,checkout,2.1,iOS,GE,new,2,3,raw_responses_sample.csv,73,Checkout,iOS,GE,new,2024-06-10 01:32:05,2.0,3.0,37.5
R1876,2024-03-23 16:58:12, Checkout ,2.1,Android,ru,New,3,4,raw_responses_sample.csv,74,Checkout,Android,RU,new,2024-03-23 16:58:12,3.0,4.0,62.5
R2427,2025-02-10 06:09:34,Payments,2.0,,,returning ,1,2,raw_responses_sample.csv,75,Payments,unknown,unknown,returning,2025-02-10 06:09:34,1.0,2.0,12.5
R1178,2025-03-02 19:40:01, Payments,2.0,,GE,power,1,1,raw_responses_sample.csv,76,Payments,unknown,GE,power,2025-03-02 19:40:01,1.0,1.0,0.0
R2191,2024-01-21 05:50:00,checkout,1.3,,BY,New,4,5,raw_responses_sample.csv,77,Checkout,unknown,BY,new,2024-01-21 05:50:00,4.0,5.0,87.5
R2196,2024-10-02 02:32:49,search,1.3,Web,KZ,New,3,5,raw_responses_sample.csv,78,Search,Web,KZ,new,2024-10-02 02:32:49,3.0,5.0,75.0
R2374,2024-05-24 15:06:34,PROFILE,2.0,web,BY,,3,3,raw_responses_sample.csv,79,Profile,Web,BY,unknown,2024-05-24 15:06:34,3.0,3.0,50.0
R1624,2025-04-10 05:24:23,checkout,2.1,web,,returning,5,5,raw_responses_sample.csv,80,Checkout,Web,unknown,returning,2025-04-10 05:24:23,5.0,5.0,100.0
R1076,2024-06-01 08:52:09,Payments,1.3,iOS,KZ,,2,3,raw_responses_sample.csv,81,Payments,iOS,KZ,unknown,2024-06-01 08:52:09,2.0,3.0,37.5
R2065,2025-06-16 22:21:53,PROFILE,2.0,iOS,AM,,3,3,raw_responses_sample.csv,82,Profile,iOS,AM,unknown,2025-06-16 22:21:53,3.0,3.0,50.0
R2125,2024-08-04 10:32:45, search,1.3,Android,AM,,4,4,raw_responses_sample.csv,83,Search,Android,AM,unknown,2024-08-04 10:32:45,4.0,4.0,75.0
R2174,2025-03-12 18:46:19, search,1.2,ANDROID,ru,New,5,4,raw_responses_sample.csv,85,Search,Android,RU,new,2025-03-12 18:46:19,5.0,4.0,87.5
R2364,2099-12-31 12:00:00,profile,1.3,,,New,5,4,raw_responses_sample.csv,86,Profile,unknown,unknown,new,2099-12-31 12:00:00,5.0,4.0,87.5
R1215,2024-07-01 17:25:33,payments,1.3,,KZ,,2,2,raw_responses_sample.csv,87,Payments,unknown,KZ,unknown,2024-07-01 17:25:33,2.0,2.0,25.0
R2179,2024-11-20 16:05:56,PROFILE,2.1,Android,KZ,,3,4,raw_responses_sample.csv,88,Profile,Android,KZ,unknown,2024-11-20 16:05:56,3.0,4.0,62.5
R1003,2024-12-18 19:16:51,Search,1.2,,AM,returning ,4,4,raw_responses_sample.csv,89,Search,unknown,AM,returning,2024-12-18 19:16:51,4.0,4.0,75.0
R2057,2024-09-01 05:20:43,Onboarding,2.1,Android,KZ,power,3,1,raw_responses_sample.csv,90,Onboarding,Android,KZ,power,2024-09-01 05:20:43,3.0,1.0,25.0
R2470,2024-11-24 12:01:12, search,2.1,web,AM,returning ,4,4,raw_responses_sample.csv,91,Search,Web,AM,returning,2024-11-24 12:01:12,4.0,4.0,75.0
R2472,2024-02-01 13:04:35,Search,2.1,,ru,returning,4,3,raw_responses_sample.csv,92,Search,unknown,RU,returning,2024-02-01 13:04:35,4.0,3.0,62.5
R2137,2024-10-13 03:14:19,profile,2.1,Web,RU,returning ,3,4,raw_responses_sample.csv,93,Profile,Web,RU,returning,2024-10-13 03:14:19,3.0,4.0,62.5
R1333,2025-05-17 04:03:23,Onboarding,1.2,web,RU,power,4,4,raw_responses_sample.csv,94,Onboarding,Web,RU,power,2025-05-17 04:03:23,4.0,4.0,75.0
R1529,2025-01-31 15:30:08,payments,2.1,Android,KZ,new,2,2,raw_responses_sample.csv,95,Payments,Android,KZ,new,2025-01-31 15:30:08,2.0,2.0,25.0
R1965,2024-06-16 09:21:30,onboarding,2.1,Android,RU,returning ,3,1,raw_responses_sample.csv,96,Onboarding,Android,RU,returning,2024-06-16 09:21:30,3.0,1.0,25.0
R1882,2024-05-07 08:04:21,Checkout,1.3,ANDROID,KZ,New,5,5,raw_responses_sample.csv,97,Checkout,Android,KZ,new,2024-05-07 08:04:21,5.0,5.0,100.0
R2102,2024-08-21 00:59:03,Profile,2.0,Android,GE,returning ,4,3,raw_responses_sample.csv,98,Profile,Android,GE,returning,2024-08-21 00:59:03,4.0,3.0,62.5
R1462,2025-04-06 05:36:08,PROFILE,2.0,,KZ,,3,4,raw_responses_sample.csv,99,Profile,unknown,KZ,unknown,2025-04-06 05:36:08,3.0,4.0,62.5
R2177,2024-05-30 04:10:30,Onboarding,1.3,Web,RU,new,5,5,raw_responses_sample.csv,100,Onboarding,Web,RU,new,2024-05-30 04:10:30,5.0,5.0,100.0
R1901,2024-12-22 12:25:04,Check out,2.1,,BY,power,3,4,raw_responses_sample.csv,101,Checkout,unknown,BY,power,2024-12-22 12:25:04,3.0,4.0,62.5
R1134,2025-04-04 21:59:56,PROFILE,2.1,,,returning ,4,3,raw_responses_sample.csv,102,Profile,unknown,unknown,returning,2025-04-04 21:59:56,4.0,3.0,62.5
R1856,2024-12-31 10:11:00,profile,2.1,,BY,new,4,4,raw_responses_sample.csv,103,Profile,unknown,BY,new,2024-12-31 10:11:00,4.0,4.0,75.0
R2463,2025-03-08 02:04:05,profile,2.1,,BY,New,5,4,raw_responses_sample.csv,104,Profile,unknown,BY,new,2025-03-08 02:04:05,5.0,4.0,87.5
R1358,2024-09-21 23:51:35,payments,1.3,,BY,,3,4,raw_responses_sample.csv,105,Payments,unknown,BY,unknown,2024-09-21 23:51:35,3.0,4.0,62.5
R2205,2025-01-18 00:30:10,profile,1.2,iOS,AM,returning ,4,4,raw_responses_sample.csv,106,Profile,iOS,AM,returning,2025-01-18 00:30:10,4.0,4.0,75.0
R2377,2025-05-13 10:39:59,PROFILE,1.3,ANDROID,,,4,4,raw_responses_sample.csv,107,Profile,Android,unknown,unknown,2025-05-13 10:39:59,4.0,4.0,75.0
R2005,2024-07-22 02:46:42,payments,2.1,Web,,,3,2,raw_responses_sample.csv,108,Payments,Web,unknown,unknown,2024-07-22 02:46:42,3.0,2.0,37.5
R1829,2024-10-06 12:01:11,profile,2.1,Android,BY,,3,4,raw_responses_sample.csv,109,Profile,Android,BY,unknown,2024-10-06 12:01:11,3.0,4.0,62.5
R2498,2024-06-20 07:01:51,onboarding,2.0,ANDROID,,new,1,1,raw_responses_sample.csv,110,Onboarding,Android,unknown,new,2024-06-20 07:01:51,1.0,1.0,0.0
R2359,2024-06-20 23:16:43,ONBOARDING,2.1,Web,GE,power,4,4,raw_responses_sample.csv,111,Onboarding,Web,GE,power,2024-06-20 23:16:43,4.0,4.0,75.0
R2011,2025-03-23 20:18:44,Onboarding,2.1,iOS,ru,,1,3,raw_responses_sample.csv,112,Onboarding,iOS,RU,unknown,2025-03-23 20:18:44,1.0,3.0,25.0
R1767,2025-03-08 16:07:46,Payments,2.0,Web,BY,,2,4,raw_responses_sample.csv,113,Payments,Web,BY,unknown,2025-03-08 16:07:46,2.0,4.0,50.0
R2261,2024-11-03 19:13:36,search,2.0,Web,KZ,returning,3,2,raw_responses_sample.csv,114,Search,Web,KZ,returning,2024-11-03 19:13:36,3.0,2.0,37.5
R1350,2024-10-18 00:24:03,onboarding,2.0,ANDROID,ru,returning,2,1,raw_responses_sample.csv,115,Onboarding,Android,RU,returning,2024-10-18 00:24:03,2.0,1.0,12.5
R1408,2025-06-13 11:32:51,PROFILE,2.0,web,AM,new,3,3,raw_responses_sample.csv,116,Profile,Web,AM,new,2025-06-13 11:32:51,3.0,3.0,50.0
R1815,2024-07-24 20:58:12,Payments,1.2,Web,KZ,,2,3,raw_responses_sample.csv,117,Payments,Web,KZ,unknown,2024-07-24 20:58:12,2.0,3.0,37.5
R1012,2025-06-03 03:55:40,CHECKOUT,2.0,,GE,returning ,5,4,raw_responses_sample.csv,118,Checkout,unknown,GE,returning,2025-06-03 03:55:40,5.0,4.0,87.5
R1945,2024-07-05 01:00:03, search,2.1,Android,BY,New,4,5,raw_responses_sample.csv,119,Search,Android,BY,new,2024-07-05 01:00:03,4.0,5.0,87.5
R2058,2025-03-14 10:01:11,profile,1.3,iOS,KZ,,5,4,raw_responses_sample.csv,120,Profile,iOS,KZ,unknown,2025-03-14 10:01:11,5.0,4.0,87.5
R2353,2024-02-15 06:06:29,Profile,1.3,Android,,power,3,4,raw_responses_sample.csv,121,Profile,Android,unknown,power,2024-02-15 06:06:29,3.0,4.0,62.5
R1804,2025-03-09 02:58:15,payments,1.2,Android,BY,power,4,3,raw_responses_sample.csv,122,Payments,Android,BY,power,2025-03-09 02:58:15,4.0,3.0,62.5
R1393,2024-10-28 14:51:08,onboarding,2.0,web,GE,,2,3,raw_responses_sample.csv,123,Onboarding,Web,GE,unknown,2024-10-28 14:51:08,2.0,3.0,37.5
R2052,2025-06-04 10:03:28,profile,1.3,Web,RU,new,5,5,raw_responses_sample.csv,125,Profile,Web,RU,new,2025-06-04 10:03:28,5.0,5.0,100.0
R2127,2025-06-16 14:20:17,payments,1.2,ANDROID,BY,returning,2,2,raw_responses_sample.csv,126,Payments,Android,BY,returning,2025-06-16 14:20:17,2.0,2.0,25.0
R2314,2024-10-13 23:46:17,profile,2.1,,GE,power,4,4,raw_responses_sample.csv,127,Profile,unknown,GE,power,2024-10-13 23:46:17,4.0,4.0,75.0
R2274,2024-11-30 17:31:18,Payment,2.1,,RU,,5,4,raw_responses_sample.csv,128,Payments,unknown,RU,unknown,2024-11-30 17:31:18,5.0,4.0,87.5
R1802,2024-10-07 03:43:33, Checkout ,2.0,web,BY,returning ,1,3,raw_responses_sample.csv,129,Checkout,Web,BY,returning,2024-10-07 03:43:33,1.0,3.0,25.0
R1629,2024-04-10 14:31:15,Payments,1.2,ANDROID,ru,new,2,3,raw_responses_sample.csv,130,Payments,Android,RU,new,2024-04-10 14:31:15,2.0,3.0,37.5
R2423,2024-07-31 14:10:07,profile,1.3,Android,KZ,new,4,4,raw_responses_sample.csv,131,Profile,Android,KZ,new,2024-07-31 14:10:07,4.0,4.0,75.0
R1792,2024-05-05 04:46:35,Payment,1.2,web,KZ,returning ,3,4,raw_responses_sample.csv,132,Payments,Web,KZ,returning,2024-05-05 04:46:35,3.0,4.0,62.5
R2100,2024-02-06 11:04:26,PROFILE,1.2,,GE,new,4,3,raw_responses_sample.csv,133,Profile,unknown,GE,new,2024-02-06 11:04:26,4.0,3.0,62.5
R1292,2025-06-07 06:51:09,Payment,1.3,web,GE,,3,4,raw_responses_sample.csv,134,Payments,Web,GE,unknown,2025-06-07 06:51:09,3.0,4.0,62.5
R1925,2024-11-08 13:49:20,Profile,1.3,,RU,new,4,5,raw_responses_sample.csv,135,Profile,unknown,RU,new,2024-11-08 13:49:20,4.0,5.0,87.5
R1495,2024-04-08 16:42:04,Search,2.0,Android,KZ,,2,3,raw_responses_sample.csv,137,Search,Android,KZ,unknown,2024-04-08 16:42:04,2.0,3.0,37.5
R2429,2024-01-30 14:38:41,Serch,2.1,Android,KZ,new,4,4,raw_responses_sample.csv,138,Search,Android,KZ,new,2024-01-30 14:38:41,4.0,4.0,75.0
R1360,2024-03-13 15:56:12,Search,2.1,,AM,returning ,4,3,raw_responses_sample.csv,140,Search,unknown,AM,returning,2024-03-13 15:56:12,4.0,3.0,62.5
R2114,2025-03-20 13:50:46,Payments,1.3,iOS,GE,New,3,2,raw_responses_sample.csv,141,Payments,iOS,GE,new,2025-03-20 13:50:46,3.0,2.0,37.5
R1870,2025-04-09 09:24:35,ONBOARDING,1.3,iOS,BY,returning,3,4,raw_responses_sample.csv,142,Onboarding,iOS,BY,returning,2025-04-09 09:24:35,3.0,4.0,62.5
R1169,2024-07-23 03:08:54,Payments,2.0,web,KZ,,1,1,raw_responses_sample.csv,143,Payments,Web,KZ,unknown,2024-07-23 03:08:54,1.0,1.0,0.0
R1728,2024-05-04 12:23:37,Checkout,2.0,Web,KZ,new,5,4,raw_responses_sample.csv,144,Checkout,Web,KZ,new,2024-05-04 12:23:37,5.0,4.0,87.5
R1088,2024-07-12 22:15:36, Payments,2.1,Android,ru,,2,3,raw_responses_sample.csv,145,Payments,Android,RU,unknown,2024-07-12 22:15:36,2.0,3.0,37.5
R1896,2024-07-13 12:27:20,profile,1.2,,ru,returning,4,5,raw_responses_sample.csv,146,Profile,unknown,RU,returning,2024-07-13 12:27:20,4.0,5.0,87.5
R1531,2024-09-09 13:25:49,Payments,2.1,ANDROID,,,2,1,raw_responses_sample.csv,147,Payments,Android,unknown,unknown,2024-09-09 13:25:49,2.0,1.0,12.5
R1289,2025-01-04 10:08:24, Payments,1.2,Web,GE,,1,2,raw_responses_sample.csv,148,Payments,Web,GE,unknown,2025-01-04 10:08:24,1.0,2.0,12.5
R1776,2024-10-17 06:11:52,PROFILE,1.2,web,RU,new,5,4,raw_responses_sample.csv,149,Profile,Web,RU,new,2024-10-17 06:11:52,5.0,4.0,87.5
R2170,2024-06-18 04:18:33,search,2.0,ANDROID,,power,2,2,raw_responses_sample.csv,150,Search,Android,unknown,power,2024-06-18 04:18:33,2.0,2.0,25.0
R1898,2024-02-05 19:20:19,PROFILE,1.3,,RU,power,4,4,raw_responses_sample.csv,151,Profile,unknown,RU,power,2024-02-05 19:20:19,4.0,4.0,75.0
R1486,2025-06-17 03:16:30, search,1.3,Android,BY,new,4,4,raw_responses_sample.csv,152,Search,Android,BY,new,2025-06-17 03:16:30,4.0,4.0,75.0
R1092,2025-05-14 17:02:39,Search,2.1,Android,,,5,4,raw_responses_sample.csv,153,Search,Android,unknown,unknown,2025-05-14 17:02:39,5.0,4.0,87.5
R1907,2024-05-04 15:41:42,PROFILE,2.0,Android,RU,returning ,4,4,raw_responses_sample.csv,154,Profile,Android,RU,returning,2024-05-04 15:41:42,4.0,4.0,75.0
R1832,2024-09-24 00:49:19, search,1.3,Web,ru,New,3,1,raw_responses_sample.csv,155,Search,Web,RU,new,2024-09-24 00:49:19,3.0,1.0,25.0
R1056,2024-02-23 11:14:41,Profile,2.0,,RU,,4,3,raw_responses_sample.csv,156,Profile,unknown,RU,unknown,2024-02-23 11:14:41,4.0,3.0,62.5
R1467,2024-06-27 09:22:20, Payments,1.3,,AM,new,2,2,raw_responses_sample.csv,157,Payments,unknown,AM,new,2024-06-27 09:22:20,2.0,2.0,25.0
R1211,2025-05-15 02:57:32,profile,1.2,iOS,AM,returning,3,3,raw_responses_sample.csv,158,Profile,iOS,AM,returning,2025-05-15 02:57:32,3.0,3.0,50.0
R2355,2024-12-04 05:24:52,checkout,1.3,Web,ru,New,3,3,raw_responses_sample.csv,159,Checkout,Web,RU,new,2024-12-04 05:24:52,3.0,3.0,50.0
